Mega Category (Taxonomy),Level 1 (Taxonomy),Level 2 (Taxonomy),Level 3 (Taxonomy),Supplier Name,Spend
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_105,722.66
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_105,25.45
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_105,40.45
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_105,4758
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_105,45.43
Business services,Travel & entertainment,Airfares,International airfares,supplier_105,856.62
Business services,Travel & entertainment,Airfares,International airfares,supplier_105,539
Business services,Travel & entertainment,Airfares,International airfares,supplier_105,4295.15
Business services,Travel & entertainment,Airfares,International airfares,supplier_105,221.57
Business services,Travel & entertainment,Airfares,International airfares,supplier_105,210
Business services,Travel & entertainment,Airfares,International airfares,supplier_105,39
Business services,Travel & entertainment,Ground transport,Other ground transportation,supplier_105,103.83
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_117,2290.82
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_117,236.87
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_124,264.92
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_124,600
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_124,11.19
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_124,9.85
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_124,535.83
Business services,Travel & entertainment,Ground transport,Car hire,supplier_124,537.34
Business services,Travel & entertainment,Ground transport,Car hire,supplier_124,43.14
Business services,Travel & entertainment,Ground transport,Car hire,supplier_124,437.5
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_124,69
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_124,51.36
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_124,295
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_124,340.67999999999995
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_124,25
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_124,799.88
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_124,90
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_124,10.91
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_124,58.87
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_124,73.2
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_124,31.82
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_124,127.27
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_124,174.72
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_124,2460
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_124,193.5
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_124,65.45
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_124,203.84
Business services,Travel & entertainment,Ground transport,Other ground transportation,supplier_126,66.7
Business services,Travel & entertainment,Ground transport,Other ground transportation,supplier_126,95.41
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_128,1526.54
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_128,2619.61
Business services,Travel & entertainment,Ground transport,Taxis & ride share services,supplier_128,115.32
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_136,109.85
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_136,478
Business services,Travel & entertainment,Airfares,International airfares,supplier_136,528.1
Business services,Travel & entertainment,Airfares,International airfares,supplier_136,25.36
Business services,Travel & entertainment,Airfares,International airfares,supplier_138,417.27
Business services,Travel & entertainment,Airfares,International airfares,supplier_138,300
Business services,Travel & entertainment,Airfares,International airfares,supplier_138,135.42
Business services,Travel & entertainment,Airfares,International airfares,supplier_138,322.73
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_142,300
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_142,238.35
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_142,53.8
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_142,5.76
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_142,40.91
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_142,8.73
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_142,112.73
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_142,173.64
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_142,135386.38
Business services,Travel & entertainment,Airfares,International airfares,supplier_142,75
Business services,Travel & entertainment,Airfares,International airfares,supplier_142,2537.85
Business services,Travel & entertainment,Airfares,International airfares,supplier_142,26.82
Business services,Travel & entertainment,Ground transport,Car hire,supplier_142,5.91
Business services,Travel & entertainment,Ground transport,Car hire,supplier_142,279.82
Business services,Travel & entertainment,Ground transport,Car hire,supplier_142,90
Business services,Travel & entertainment,Ground transport,Car hire,supplier_142,44.849999999999994
Business services,Travel & entertainment,Ground transport,Car hire,supplier_142,18126.34
Business services,Travel & entertainment,Ground transport,Car hire,supplier_142,190.86
Business services,Travel & entertainment,Ground transport,Car hire,supplier_142,73.48
Business services,Travel & entertainment,Ground transport,Car hire,supplier_142,22425
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,5530
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,39
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,268.18
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,25.86
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,38.37
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,17.45
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,264.86
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,60
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,5.05
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,65
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,63.64
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,367.13
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,10032.04
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,200.24
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,895.68
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,37.04
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,15.56
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,2290.5
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,6178.14
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,290.83
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,20.66
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,8.64
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,148.07
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,3782.35
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,320
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,89.04
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,10
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,176.79
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,200.18
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,610.94
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,912
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,21.310000000000002
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,202.65
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_142,390.83
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_146,8.15
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_146,353.7
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_147,693.75
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_147,6
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_147,549
Business services,Travel & entertainment,Airfares,International airfares,supplier_147,20.66
Business services,Travel & entertainment,Ground transport,Car hire,supplier_147,1764
Business services,Travel & entertainment,Ground transport,Car hire,supplier_147,680
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_147,105.7
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_147,45.45
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_163,25.1
Business services,Travel & entertainment,Uncategorised,Uncategorised,supplier_166,1900.08
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_168,2500
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_168,352.73
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_168,4012.8
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_168,60
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_168,20.35
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_168,99.16
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_168,49.9
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_168,60.15
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_168,140
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_168,1062.25
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_168,3.64
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_168,510
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_168,75
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_168,3.91
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_168,103.25
Business services,Travel & entertainment,Airfares,International airfares,supplier_168,1111.17
Business services,Travel & entertainment,Airfares,International airfares,supplier_168,90.04
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,607.31
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,247.61
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,7.27
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,37.2
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,7.5600000000000005
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,79.05
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,68.46
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,56.78
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,264.09999999999997
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,80.56
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,1743
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,150
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,22.04
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,88.18
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,68871.6
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,-64
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,13
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,17.02
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,2074.33
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,286.66
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,847.3
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,61.81
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,242.32
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,71.82
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,68.25
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,34.18
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,734.55
Business services,Travel & entertainment,Ground transport,Car hire,supplier_168,43
Business services,Travel & entertainment,Ground transport,Other ground transportation,supplier_168,18.44
Business services,Travel & entertainment,Ground transport,Other ground transportation,supplier_168,29289
Business services,Travel & entertainment,Travel expenses,General travel expenses,supplier_168,6.84
Business services,Travel & entertainment,Travel expenses,General travel expenses,supplier_168,64.55
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,13.64
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,431.36
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,77.27
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,-2.07
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,9000
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,148.66
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,608.41
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,97.85
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,272.3
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,22.68
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,93.35
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,7.66
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,186.38
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,90.44999999999999
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,4008.77
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,68
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,28.09
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,11.32
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,4676.29
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,362.89
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,600
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,50
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,86.09
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,1647.64
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,422.73
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,29.84
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,47.65
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,65.79
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,46.5
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,29977.25
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,85
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_168,4.08
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_171,238.5
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_171,120.19
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_171,11591
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_171,1062.72
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_172,726.14
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_172,5200
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_172,253.86
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_172,600
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_172,3500
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_172,3630
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_172,6.07
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_172,14.8
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_172,1470.75
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_172,600
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_172,181.82
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_172,145.57
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_172,92.03999999999999
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_172,487.5
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_172,890
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_172,177.42
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_172,306.18
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_172,13.1
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_172,380
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_172,2889.75
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_172,349.6
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_172,16.36
Business services,Travel & entertainment,Airfares,International airfares,supplier_172,4656
Business services,Travel & entertainment,Airfares,International airfares,supplier_172,16.85
Business services,Travel & entertainment,Airfares,International airfares,supplier_172,2183.12
Business services,Travel & entertainment,Airfares,International airfares,supplier_172,89.82
Business services,Travel & entertainment,Airfares,International airfares,supplier_172,15.4
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,130.32
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,61.82
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,27.01
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,53.46
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,25.77
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,110
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,57.42
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,24.55
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,376
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,232.12
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,11600
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,113.64
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,213.64
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,27.27
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,159.99
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,13.36
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,9.95
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,313.08
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,22.72
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,41.65
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,12507.82
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,32.6
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,181.81
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,299.2
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,5.45
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,397.27
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,60.25
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,549
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,945.73
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,2830.4
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,9.68
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,591.41
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,513.84
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,3880.29
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,-1097.22
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,14.38
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,70.44
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,60
Business services,Travel & entertainment,Ground transport,Car hire,supplier_172,699.3
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_172,1614.86
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_172,844.05
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_172,228
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_172,37.27
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_172,2850
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_172,6
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_172,117.44
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_172,902.78
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_172,23.24
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_172,440.1
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_172,228.64
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_172,36.32
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_172,401.06
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_172,4200
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_172,1620
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_172,927
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_172,1763.65
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_172,465.06
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_173,703.44
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_173,674.88
Business services,Travel & entertainment,Airfares,International airfares,supplier_173,443.92
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_175,779.36
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_175,105.57
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_175,6.89
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_175,322.29
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_175,102.99
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_175,235.17
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_175,57.5
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_175,15.93
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_175,44.16
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_175,1980
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_175,40
Business services,Travel & entertainment,Airfares,International airfares,supplier_175,253.64
Business services,Travel & entertainment,Airfares,International airfares,supplier_175,24.08
Business services,Travel & entertainment,Airfares,International airfares,supplier_175,97.3
Business services,Travel & entertainment,Airfares,International airfares,supplier_175,35.839999999999996
Business services,Travel & entertainment,Airfares,International airfares,supplier_175,297
Business services,Travel & entertainment,Airfares,International airfares,supplier_175,22260
Business services,Travel & entertainment,Ground transport,Car hire,supplier_175,17.95
Business services,Travel & entertainment,Ground transport,Car hire,supplier_175,1227.13
Business services,Travel & entertainment,Ground transport,Car hire,supplier_175,1530
Business services,Travel & entertainment,Ground transport,Car hire,supplier_175,34.55
Business services,Travel & entertainment,Ground transport,Car hire,supplier_175,2268
Business services,Travel & entertainment,Ground transport,Car hire,supplier_175,12.44
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,234.51
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,5767.56
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,1611.86
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,8.76
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,42.48
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,62.44
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,14392
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,29.55
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,-225.45
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,412.73
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,32.86
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,135
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,27648
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,284.5
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,1485
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,412.35
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,159.09
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,380
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,268.49
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,682.88
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,61.89
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,12.59
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,535
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,34.16
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,209.83
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,1640.69
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,19.92
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,48.82
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,575.34
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,7131.17
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,31.5
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_175,857.87
